,_id,AvgDuration,StdDuration
127,"{'year': {'year': 'init_date'}, 'day': 218}",4303.202764976959,14347.870220262792
128,"{'year': {'year': 'init_date'}, 'day': 219}",2678.5451388888887,10018.506012557807
129,"{'year': {'year': 'init_date'}, 'day': 220}",1959.4646840148698,3660.325663449555
130,"{'year': {'year': 'init_date'}, 'day': 221}",1954.6904761904761,3424.60335199286
131,"{'year': {'year': 'init_date'}, 'day': 234}",2542.832089552239,9669.587709697731
132,"{'year': {'year': 'init_date'}, 'day': 235}",2804.143181818182,9054.516850718956
133,"{'year': {'year': 'init_date'}, 'day': 236}",2000.6754385964912,4493.046970472313
134,"{'year': {'year': 'init_date'}, 'day': 237}",2623.1479915433406,9763.20794501867
135,"{'year': {'year': 'init_date'}, 'day': 238}",3696.1018957345973,15503.827049065736
136,"{'year': {'year': 'init_date'}, 'day': 239}",3607.2398921832882,13012.40336053968
137,"{'year': {'year': 'init_date'}, 'day': 240}",2416.2866344605477,8789.944027948019
138,"{'year': {'year': 'init_date'}, 'day': 241}",2608.2154294032025,8877.242360846734
139,"{'year': {'year': 'init_date'}, 'day': 242}",1950.134670487106,4238.074692177692
140,"{'year': {'year': 'init_date'}, 'day': 243}",1955.5496083550913,4247.098574599994
141,"{'year': {'year': 'init_date'}, 'day': 244}",1912.7962962962963,2980.6922697006053
142,"{'year': {'year': 'init_date'}, 'day': 245}",1322.4255319148936,615.862576018068
143,"{'year': {'year': 'init_date'}, 'day': 248}",5344.257627118644,71618.84218722551
144,"{'year': {'year': 'init_date'}, 'day': 249}",2138.0275330396476,5314.343767047072
145,"{'year': {'year': 'init_date'}, 'day': 250}",6235.748258706468,49939.50845767646
146,"{'year': {'year': 'init_date'}, 'day': 251}",5616.742624618515,57596.25974150994
147,"{'year': {'year': 'init_date'}, 'day': 252}",4783.154846335698,24621.712817107724
148,"{'year': {'year': 'init_date'}, 'day': 253}",5575.828267477204,51160.48509772003
149,"{'year': {'year': 'init_date'}, 'day': 254}",2263.5378061767838,4984.3200299783875
150,"{'year': {'year': 'init_date'}, 'day': 255}",2643.922350472193,8094.260361117057
151,"{'year': {'year': 'init_date'}, 'day': 256}",2771.1206543967282,14747.913512117659
152,"{'year': {'year': 'init_date'}, 'day': 257}",2870.2450261780104,13070.974054350003
153,"{'year': {'year': 'init_date'}, 'day': 258}",3862.7123711340205,29125.50491187936
154,"{'year': {'year': 'init_date'}, 'day': 259}",4674.026666666667,23626.567902195755
155,"{'year': {'year': 'init_date'}, 'day': 260}",4377.586340206186,18271.95721485844
156,"{'year': {'year': 'init_date'}, 'day': 261}",3778.876923076923,29310.78082039671
157,"{'year': {'year': 'init_date'}, 'day': 262}",3170.3388601036268,10447.968241298602
158,"{'year': {'year': 'init_date'}, 'day': 263}",2981.5529290853033,8364.976376571567
159,"{'year': {'year': 'init_date'}, 'day': 264}",3194.685975609756,12831.87126385235
160,"{'year': {'year': 'init_date'}, 'day': 265}",2858.4947368421053,7244.716851314061
161,"{'year': {'year': 'init_date'}, 'day': 266}",4662.130832570906,19414.616803930232
162,"{'year': {'year': 'init_date'}, 'day': 267}",4699.412030075188,17184.423832960845
163,"{'year': {'year': 'init_date'}, 'day': 268}",3321.2933333333335,13220.88926377748
164,"{'year': {'year': 'init_date'}, 'day': 269}",3487.741666666667,14813.624805231453
165,"{'year': {'year': 'init_date'}, 'day': 270}",2741.3713123092575,8441.481115278544
166,"{'year': {'year': 'init_date'}, 'day': 271}",2486.7462834489593,6685.427236092453
167,"{'year': {'year': 'init_date'}, 'day': 272}",2840.9087719298245,7612.039989990942
168,"{'year': {'year': 'init_date'}, 'day': 273}",2099.6848167539265,4825.941782718511
169,"{'year': {'year': 'init_date'}, 'day': 274}",1837.3606770833333,2272.1311286996165
170,"{'year': {'year': 'init_date'}, 'day': 275}",2945.6576923076923,10116.076508655879
171,"{'year': {'year': 'init_date'}, 'day': 276}",2502.5926660059463,6352.040282447616
172,"{'year': {'year': 'init_date'}, 'day': 277}",2123.677146311971,4787.337055523657
173,"{'year': {'year': 'init_date'}, 'day': 278}",3492.752128666036,10200.015464170003
174,"{'year': {'year': 'init_date'}, 'day': 279}",3162.906119027661,10021.986087742525
175,"{'year': {'year': 'init_date'}, 'day': 280}",5389.475268817204,31021.83083027647
176,"{'year': {'year': 'init_date'}, 'day': 281}",4137.919642857143,16352.249997228488
177,"{'year': {'year': 'init_date'}, 'day': 282}",3650.7147435897436,25956.297171424918
178,"{'year': {'year': 'init_date'}, 'day': 283}",3989.4732750242956,23600.42662691329
179,"{'year': {'year': 'init_date'}, 'day': 284}",2798.4299802761343,7645.514651772119
180,"{'year': {'year': 'init_date'}, 'day': 285}",2857.372897196262,11540.338228178614
181,"{'year': {'year': 'init_date'}, 'day': 286}",2444.0345699831364,5485.90680826087
182,"{'year': {'year': 'init_date'}, 'day': 287}",4732.982,22227.476425804078
183,"{'year': {'year': 'init_date'}, 'day': 288}",2897.8551724137933,8449.27245639962
184,"{'year': {'year': 'init_date'}, 'day': 289}",2244.424430641822,4046.6929725981936
185,"{'year': {'year': 'init_date'}, 'day': 290}",2754.312015503876,8055.799303251927
186,"{'year': {'year': 'init_date'}, 'day': 291}",2896.791836734694,17840.717902822653
187,"{'year': {'year': 'init_date'}, 'day': 292}",4181.866891322662,33661.76742279124
188,"{'year': {'year': 'init_date'}, 'day': 293}",3488.085218702866,26245.329338053154
189,"{'year': {'year': 'init_date'}, 'day': 294}",4411.605367008682,31294.80380606672
190,"{'year': {'year': 'init_date'}, 'day': 295}",4633.2384453781515,15891.933488239069
191,"{'year': {'year': 'init_date'}, 'day': 296}",4371.658787255909,32768.23690673746
192,"{'year': {'year': 'init_date'}, 'day': 297}",3008.1275899672846,10200.623715725804
193,"{'year': {'year': 'init_date'}, 'day': 298}",3315.993445692884,18417.217914003857
194,"{'year': {'year': 'init_date'}, 'day': 299}",2992.8626893939395,12033.674477206896
195,"{'year': {'year': 'init_date'}, 'day': 300}",3028.4246771879484,11043.030242848652
196,"{'year': {'year': 'init_date'}, 'day': 301}",3868.331632653061,18446.92182848245
197,"{'year': {'year': 'init_date'}, 'day': 302}",3295.65252293578,10615.159306524023
198,"{'year': {'year': 'init_date'}, 'day': 303}",2837.611510791367,7439.655825562591
199,"{'year': {'year': 'init_date'}, 'day': 304}",5554.251982378854,21789.25301632969
200,"{'year': {'year': 'init_date'}, 'day': 305}",4413.5828367103695,15119.341146386829
201,"{'year': {'year': 'init_date'}, 'day': 306}",2059.5036855036856,3870.202991249342
202,"{'year': {'year': 'init_date'}, 'day': 317}",3006.9868035190616,8538.745691475817
203,"{'year': {'year': 'init_date'}, 'day': 318}",2660.472837022133,6998.2914495643045
204,"{'year': {'year': 'init_date'}, 'day': 319}",3323.237084870849,11158.807391988757
205,"{'year': {'year': 'init_date'}, 'day': 320}",2790.6432532347503,8986.277575084445
206,"{'year': {'year': 'init_date'}, 'day': 321}",3449.4773310521814,21752.10223488748
207,"{'year': {'year': 'init_date'}, 'day': 322}",3808.1993896236013,15955.866182016976
208,"{'year': {'year': 'init_date'}, 'day': 323}",4512.782973621103,17975.781650179055
209,"{'year': {'year': 'init_date'}, 'day': 324}",4093.3863636363635,17958.13581892007
210,"{'year': {'year': 'init_date'}, 'day': 325}",3494.5375110326568,15142.957807257739
211,"{'year': {'year': 'init_date'}, 'day': 326}",2973.985650224215,9469.564880205524
212,"{'year': {'year': 'init_date'}, 'day': 327}",3226.080673758865,17020.380451512723
213,"{'year': {'year': 'init_date'}, 'day': 328}",2832.8715805471124,9562.363602352698
